added_lines	deleted_lines	path
40	53	androidApp/src/main/java/com/cruxcoach/android/ui/settings/BackupSettingsSection.kt
4	2	androidApp/src/main/java/com/cruxcoach/android/ui/settings/BackupSettingsViewModel.kt
1	1	androidApp/src/main/java/com/cruxcoach/android/ui/settings/BoardConfigurationMismatch.kt
136	0	androidApp/src/main/java/com/cruxcoach/android/ui/settings/BoardMultiSelectDialog.kt
167	33	androidApp/src/main/java/com/cruxcoach/android/ui/settings/BoardPicker.kt
85	77	androidApp/src/main/java/com/cruxcoach/android/ui/settings/BoardSelectionDialog.kt
122	252	androidApp/src/main/java/com/cruxcoach/android/ui/settings/BoardSettingsSection.kt
29	59	androidApp/src/main/java/com/cruxcoach/android/ui/settings/ClimbSharingSection.kt
42	235	androidApp/src/main/java/com/cruxcoach/android/ui/settings/DataManagementSection.kt
16	12	androidApp/src/main/java/com/cruxcoach/android/ui/settings/DurationStepper.kt
188	175	androidApp/src/main/java/com/cruxcoach/android/ui/settings/GymBoardSearchSheet.kt
135	95	androidApp/src/main/java/com/cruxcoach/android/ui/settings/KeyImportScreen.kt
88	62	androidApp/src/main/java/com/cruxcoach/android/ui/settings/KeyImportViewModel.kt
45	34	androidApp/src/main/java/com/cruxcoach/android/ui/settings/KeyManagementDialogs.kt
199	430	androidApp/src/main/java/com/cruxcoach/android/ui/settings/KeyManagementScreen.kt
114	56	androidApp/src/main/java/com/cruxcoach/android/ui/settings/KeyManagementViewModel.kt
80	42	androidApp/src/main/java/com/cruxcoach/android/ui/settings/KilterAccountSection.kt
11	23	androidApp/src/main/java/com/cruxcoach/android/ui/settings/LanguageSection.kt
3	10	androidApp/src/main/java/com/cruxcoach/android/ui/settings/LedColorSection.kt
51	10	androidApp/src/main/java/com/cruxcoach/android/ui/settings/MoonBoardHoldSetSection.kt
206	176	androidApp/src/main/java/com/cruxcoach/android/ui/settings/NostrProfileScreen.kt
65	0	androidApp/src/main/java/com/cruxcoach/android/ui/settings/SettingsExpandableSection.kt
245	0	androidApp/src/main/java/com/cruxcoach/android/ui/settings/SettingsLayout.kt
194	329	androidApp/src/main/java/com/cruxcoach/android/ui/settings/SettingsScreen.kt
63	13	androidApp/src/main/java/com/cruxcoach/android/ui/settings/SettingsViewModel.kt
43	110	androidApp/src/main/java/com/cruxcoach/android/ui/settings/TimerPlaybackSection.kt
9	40	androidApp/src/main/java/com/cruxcoach/android/ui/settings/UpdaterSettingsSection.kt
78	0	androidApp/src/main/java/com/cruxcoach/android/ui/theme/CruxCoachDesignTokens.kt
10	5	androidApp/src/main/java/com/cruxcoach/android/ui/theme/Theme.kt
33	0	androidApp/src/main/java/com/cruxcoach/android/ui/whatsnew/Release023WhatsNewDialog.kt
6	0	androidApp/src/main/java/com/cruxcoach/android/ui/whatsnew/WhatsNew.kt
14	1	androidApp/src/main/java/com/cruxcoach/android/updater/IntegrityVerifier.kt
1	0	androidApp/src/main/java/com/cruxcoach/android/updater/UpdateChecker.kt
7	5	androidApp/src/main/java/com/cruxcoach/android/updater/UpdateNotifier.kt
3	0	androidApp/src/main/java/com/cruxcoach/android/updater/UpdaterPreferences.kt
40	19	androidApp/src/main/java/com/cruxcoach/android/updater/UpdaterRepository.kt
21	0	androidApp/src/main/java/com/cruxcoach/android/util/LocalShareClient.kt
3	3	androidApp/src/main/java/com/cruxcoach/android/util/LocalShareProtocol.kt
32	0	androidApp/src/main/java/com/cruxcoach/android/util/LocalTransferLimits.kt
65	0	androidApp/src/main/java/com/cruxcoach/android/util/NetworkStatus.kt
497	186	androidApp/src/main/res/values-de/strings.xml
477	166	androidApp/src/main/res/values/strings.xml
13	29	androidApp/src/test/java/com/cruxcoach/android/ReleaseMetadataTest.kt
16	0	androidApp/src/test/java/com/cruxcoach/android/ble/SessionCommandGateTest.kt
82	0	androidApp/src/test/java/com/cruxcoach/android/data/BoardChunkImportOriginUpgradeTest.kt
42	0	androidApp/src/test/java/com/cruxcoach/android/data/BoardDownloadPickerTest.kt
